ObjectID,GlobalID,Sonde ID,Other SondeID,Discrete or Continuous Deployment,Pre- or Post-Deployment,Deployment Start/Stop Time,Calibration Date and Time,Verification Instruments,Which Turbidity standard?,Lot #,Expiration Date,Open Date,Turbidity Standard concentration,Lot #,Expiration Date,Open Date,Which SPC standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,SpC Standard concentration,Lot #,Expiration Date,Open Date,Which pH standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Which Rhodamine standard?,Lot #,Expiration Date,Open Date,Which fDOM standard?,Lot #,Expiration Date,Open Date,Specific Conductivity in Air,fDOM in DI (pre-cal),fDOM in DI (post-cal),fDOM in 300 QSU (pre-cal),fDOM in 300 QSU (post-cal),Chl in DI (pre-cal),Chl in DI (post-cal),Chl in rhodamine (pre-cal),Chl in rhodamine (post-cal),PC in DI (pre-cal),PC in DI (post-cal),PC in rhodamine (pre-cal),PC in rhodamine (post-cal),Turbidity in DI (pre-cal),Turbidity in DI (post-cal),Turbidity in standard (pre-cal),Turbidity in standard (post-cal),SpC in standard (pre-cal),SpC in standard (post-cal),SpC cell constant,pH in 7 (pre-cal),pH in 7 (post-cal),pH in 7 voltage,pH in 10 (pre-cal),pH in 10 (post-cal),pH in 10 voltage,pH in 4 (pre-cal),pH in 4 (post-cal),pH in 4 voltage,Delta slope (4 to 7),Delta slope (4 to 7),Delta slope (7 to 10),Delta slope (7 to 10),Temperature (NIST),Temperature (sonde),DO (pre-cal),DO (post-cal),DO (concentration post-cal),DO gain,Temperature during DO calibration,Pressure from handheld,Pressure from barometer,CreationDate,Creator,EditDate,Editor,Notes,x,y
21,d3d79b71-f9b3-4419-828a-1951234c5ab0,19C101553,,Continuous,Pre,6/6/2022 3:46:00 PM,6/3/2022 9:08:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A8299,4/1/2020 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0,0,,,0.01,0,,,-0.1,0,,,0.01,0,128.21,124,12896.2,12889.9,,,,,,,,,,,,,,,,,99.1,99.4,,1.05,,756.2,,7/5/2023 10:45:43 PM,cdfw_frpmt,7/5/2023 10:45:43 PM,cdfw_frpmt,First time calibrating Turbidity with YSI 124 standard,0,0
22,1ed774bb-c37e-49d2-8b0f-a2ad336796f6,19C101554,,Continuous,Pre,6/6/2022 5:18:00 PM,6/3/2022 8:44:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/3/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,6/3/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0,0,,,-0.01,0,,,-0.08,0,,,-0.06,0,128.44,124,1396.8,1413,,,,,,,,,,,,,,,,,100.4,99.6,,1.06,,756.2,,7/5/2023 10:50:43 PM,cdfw_frpmt,7/5/2023 10:50:43 PM,cdfw_frpmt,First time calibrating Turbidity with YSI 124 standard; Accidentally calibrated with 12890 SPC standard prior to using the 1413 solution,0,0
23,9f86b75e-7918-471e-8de5-d3f6319dbcaa,19C101553,,Continuous,Post,7/7/2022 4:05:00 PM,7/7/2022 11:18:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A9056,8/1/2020 7:00:00 PM,7/7/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.03,0,,,-0.02,0,,,0.04,0,,,-0.01,0,124.09,124,12881.1,12890,,,,,,,,,,,,,,,,,100.2,99.8,,1.03,,758.9,,7/5/2023 11:13:18 PM,cdfw_frpmt,7/5/2023 11:13:18 PM,cdfw_frpmt,,0,0
24,84076ea2-51fe-4529-8b5a-6c1d45d1739e,19C101554,,Continuous,Post,7/7/2022 6:14:00 PM,7/7/2022 11:33:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC221863,10/1/2022 7:00:00 PM,7/6/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.05,0,,,0,0,,,0.02,0,,,0.07,0,123.48,124,1431.5,1413,,,,,,,,,,,,,,,,,99.4,99.9,,1.06,,758.9,,7/5/2023 11:17:05 PM,cdfw_frpmt,7/5/2023 11:17:05 PM,cdfw_frpmt,,0,0
25,24e1b48b-d289-4e0a-8778-ac82b6a5c9a6,19C101552,,Continuous,Pre,7/7/2022 4:08:00 PM,7/6/2022 10:26:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A9056,8/1/2020 7:00:00 PM,7/6/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.03,0,,,0,0,,,-0.06,0,,,-0.03,0,129.19,124,12938.7,12889.9,,,,,,,,,,,,,,,,,101.1,99.7,,1.02,,758.3,,7/5/2023 11:21:49 PM,cdfw_frpmt,7/5/2023 11:21:49 PM,cdfw_frpmt,First time calibrating Turbidity with YSI 124 standard,0,0
26,f2dbb482-a814-458a-87ef-1c9a543907d7,19C101551,,Continuous,Pre,7/7/2022 6:16:00 PM,7/6/2022 10:03:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC221863,10/1/2022 7:00:00 PM,7/6/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.01,0,,,0.01,0,,,0.01,0,,,0,0,128.29,124,1418.6,1413,,,,,,,,,,,,,,,,,100.4,99.8,,1.05,,758.3,,7/5/2023 11:26:05 PM,cdfw_frpmt,7/5/2023 11:26:05 PM,cdfw_frpmt,First time calibrating Turbidity with YSI 124 standard,0,0
27,0a05fc25-36bf-428a-8b7b-040f823cef1f,19C101552,,Continuous,Post,8/4/2022 4:17:00 PM,8/4/2022 10:08:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A9003,7/1/2020 7:00:00 PM,8/4/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.01,0,,,-0.02,0,,,-0.1,0,,,-0.02,0,124.13,124,12835.9,12889.9,5.27,,,,,,,,,,,,,,,,98.5,99.5,,1.03,,754.8,,7/5/2023 11:31:02 PM,cdfw_frpmt,7/5/2023 11:31:02 PM,cdfw_frpmt,PC may have been contaminated in pre-deployment calibration?,0,0
28,d4a849d8-7211-47b8-847d-a94577c0ce03,19C101551,,Continuous,Post,8/4/2022 5:33:00 PM,8/4/2022 10:34:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC221863,10/1/2022 7:00:00 PM,8/4/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0.01,0,,,-0.02,0,,,-0.07,0,,,-0.02,0,123.93,124,1410.8,1413,5.23,,,,,,,,,,,,,,,,97.9,99.2,,1.06,,754.8,,7/5/2023 11:35:46 PM,cdfw_frpmt,7/5/2023 11:35:46 PM,cdfw_frpmt,PC may have been contaminated in the pre-deployment calibration,0,0
29,1fcc5acb-db54-4572-8bc0-d0be5e467a3d,19C101553,,Continuous,Pre,8/4/2022 4:22:00 PM,8/3/2022 7:04:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A8299,4/1/2020 7:00:00 PM,8/3/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0,0,,,0.03,0,,,-0.16,0,,,0,0,123.8,124,13010.6,12890,,,,,,,,,,,,,,,,,99.1,99.6,,1.04,,757.1,,7/5/2023 11:43:27 PM,cdfw_frpmt,7/5/2023 11:43:27 PM,cdfw_frpmt,,0,0
30,2d78289a-b614-4273-8169-59b432d7938b,19C101554,,Continuous,Pre,8/4/2022 6:01:00 PM,8/3/2022 6:43:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,6/6/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC221863,10/1/2022 7:00:00 PM,8/3/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,0,0,,,-0.03,0,,,-0.17,0,,,-0.13,0,124.49,124,1413.9,1413,,,,,,,,,,,,,,,,,99.5,99.7,,1.06,,757.1,,7/5/2023 11:47:14 PM,cdfw_frpmt,7/5/2023 11:47:14 PM,cdfw_frpmt,,0,0
31,3476426e-07a7-47fb-897b-8d75a305c25b,19C101552,,Continuous,Pre,9/22/2022 8:03:00 PM,9/20/2022 9:10:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,8/1/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A9056,8/1/2020 7:00:00 PM,9/20/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,1.1,0.01,0,,,0.01,0,,,0.07,0,,,0,0,123.84,124,12957.1,12890,5.24,,,,,,,,,,,,,,,,99.6,99.6,8.8,1.03,21.518,757.4,,7/5/2023 11:53:32 PM,cdfw_frpmt,7/6/2023 6:21:36 PM,cdfw_frpmt,,0,0
