ObjectID,GlobalID,Sonde ID,Other SondeID,Discrete or Continuous Deployment,Pre- or Post-Deployment,Deployment Start/Stop Time,Calibration Date and Time,Verification Instruments,Which Turbidity standard?,Lot #,Expiration Date,Open Date,Turbidity Standard concentration,Lot #,Expiration Date,Open Date,Which SPC standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,SpC Standard concentration,Lot #,Expiration Date,Open Date,Which pH standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Which Rhodamine standard?,Lot #,Expiration Date,Open Date,Which fDOM standard?,Lot #,Expiration Date,Open Date,Specific Conductivity in Air,fDOM in DI (pre-cal RFU),fDOM in DI (post-cal RFU),fDOM in standard (pre-cal RFU),fDOM in standard (post-cal RFU),fDOM in DI (pre-cal QSU),fDOM in DI (post-cal QSU),fDOM in standard (pre-cal QSU),fDOM in standard (post-cal QSU),Chl in DI (pre-cal RFU),Chl in DI (post-cal RFU),Chl in rhodamine (pre-cal RFU),Chl in rhodamine (post-cal RFU),Chl in DI (pre-cal ug/L),Chl in DI (post-cal ug/L),Chl in rhodamine (pre-cal ug/L),Chl in rhodamine (post-cal ug/L),PC in DI (pre-cal RFU),PC in DI (post-cal RFU),PC in rhodamine (pre-cal RFU),PC in rhodamine (post-cal RFU),PC in DI (pre-cal ug/L),PC in DI (post-cal ug/L),PC in rhodamine (pre-cal ug/L),PC in rhodamine (post-cal ug/L),Turbidity in DI (pre-cal),Turbidity in DI (post-cal),Turbidity in standard (pre-cal),Turbidity in standard (post-cal),SpC in standard (pre-cal),SpC in standard (post-cal),SpC cell constant,pH in 7 (pre-cal),pH in 7 (post-cal),pH in 7 voltage,pH in 10 (pre-cal),pH in 10 (post-cal),pH in 10 voltage,pH in 4 (pre-cal),pH in 4 (post-cal),pH in 4 voltage,Delta slope (4 to 7),Delta slope (4 to 7),Delta slope (7 to 10),Delta slope (7 to 10),Temperature (NIST),Temperature (sonde),Pressure from handheld,Pressure from barometer,DO concentration (pre-cal),DO concentration (post-cal),DO percent (pre-cal),DO percent (post-cal),DO gain,Temperature during DO calibration,Notes,CreationDate,Creator,EditDate,Editor,x,y
13,ad361eeb-82c6-41fa-b5bf-9a1428131fe9,18D101365,,Discrete,,4/2/2024 7:49:00 PM,3/29/2024 8:34:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.1,0.01,0,,,,,,,-0.02,0,,,,,,,-0.03,0,,,,,,,0.01,0,124.3,124,10006.1,10000,5.23,7.05,7,-22.2,10.03,10,192.8,4,3.99,153,175.19,58.4,170.56,56.85,15.783,15.785,750.6,,9.76,9.79,98.7,98.7,1.05,15.843,used old DI water from 5 gal jug with pump,3/29/2024 10:29:25 PM,cdfw_frpmt,3/29/2024 10:29:25 PM,cdfw_frpmt,-121.282657804081,38.6136776861163
14,ba41cae8-3149-4113-8c5d-b27f7d39f79e,18D101365,,Discrete,,4/11/2024 7:59:00 PM,4/9/2024 8:35:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0,-0.04,0,,,-0.1,0,,,0,0,,,-0.06,-0.01,,,-0.01,0,,,0.01,0,,,-0.01,0,124.11,124,1407.6,1412,5.25,,,,,,,,,,,,,,16.222,16.224,761.3,,10.05,9.95,101.3,100.3,1.05,15.693,,4/9/2024 10:52:40 PM,cdfw_frpmt,4/9/2024 10:52:40 PM,cdfw_frpmt,-121.282694097721,38.6136188870655
15,5ae3e5e2-0b2f-4adc-88ef-f9217611b95b,19C101554,,Continuous,Pre,4/11/2024 7:59:00 PM,4/9/2024 8:31:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.2,-0.01,0,,,0.09,0,,,-0.01,0,,,0.05,0,,,-0.03,0,,,-0.06,0,,,-0.03,0,124.09,124,1402.5,1412,5.3,,,,,,,,,,,,,,16.218,16.22,761.3,,10.09,9.97,101.4,100.1,1.06,15.616,,4/9/2024 10:53:30 PM,cdfw_frpmt,4/9/2024 10:53:30 PM,cdfw_frpmt,-121.282713543737,38.6136379978048
16,f6029739-0989-4af8-9e58-70c0be343a3f,19C101553,,Continuous,Pre,4/11/2024 7:59:00 PM,4/9/2024 8:08:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.1,0.04,0,,,0.29,0,,,0,0,,,-0.01,0.02,,,-0.01,0,,,0,0,,,-0.01,0,124.27,124,1402.3,1412,5.33,,,,,,,,,,,,,,16.251,16.27,761.3,,9.89,9.97,99.5,100.1,1.09,15.639,,4/9/2024 10:54:57 PM,cdfw_frpmt,4/9/2024 10:54:57 PM,cdfw_frpmt,-121.282712621727,38.6136109242575
17,df98e672-5a8c-4337-a135-f9c7cebd1820,19C101552,,Continuous,Post,4/11/2024 3:45:00 PM,4/12/2024 5:16:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.2,0.02,0,,,,,,,0.01,0,,,0.03,0.01,,,0.19,0,,,0.18,0,,,-0.01,0,124.53,124,1406.6,1412,5.31,,,,,,,,,,,,,,20.462,20.506,751.1,,8.82,8.9,98,99,1.08,20.482,replaced wiper brush,4/12/2024 8:11:48 PM,cdfw_frpmt,4/12/2024 8:11:48 PM,cdfw_frpmt,-121.282691247874,38.6137224454792
18,9708deee-3f7a-4b14-a74e-18d8ef1a0295,19C101551,,Continuous,Post,4/11/2024 5:33:00 PM,4/12/2024 5:12:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,1/19/2024 8:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,1.2,0.02,0,,,,,,,-0.01,0,,,0.04,0,,,0.15,0,,,0.15,0,,,0.09,0,124.18,124,1405.5,1412,5.29,,,,,,,,,,,,,,20.466,20.442,751.1,,8.94,8.92,99.1,98.8,1.01,20.414,,4/12/2024 8:13:21 PM,cdfw_frpmt,4/12/2024 8:13:21 PM,cdfw_frpmt,-121.282694935912,38.6136368243383
19,ffe514d4-70fb-4253-860c-d42873091c3e,18D101365,,Discrete,,4/15/2024 2:43:00 PM,4/15/2024 2:42:00 AM,other,,,,,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10043,10000,5.23,,,,,,,,,,,,,,,,,,,,,,,,,4/15/2024 2:44:21 AM,cdfw_frpmt,4/15/2024 2:44:21 AM,cdfw_frpmt,-121.282654110541,38.6136778774631
20,936874b4-81d4-44f8-bbb1-5f33116fc6da,18D101365,,Discrete,,4/25/2024 9:01:00 PM,4/24/2024 9:16:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.1,0.019,0,,,,,,,0.006,0,,,,,,,-0.004,0,,,,,,,0.03,0,124.21,124,1409,1412,5.24,7.09,7,-25.8,9.98,10,-193.6,3.97,4,155.2,,,,,18.269,18.265,,,9.36,9.4,99.3,99.7,1.05,18.2,Performed SC in 1412 on 240422; performed entire calibration with handheld hence some missing metadata for DO and pH,4/24/2024 11:54:52 PM,cdfw_frpmt,4/24/2024 11:54:52 PM,cdfw_frpmt,-121.282685967275,38.6136497324692
21,f5372303-2dca-4564-9e5d-5d4c6b386805,18D101027,,Discrete,,4/25/2024 9:01:00 PM,4/24/2024 10:42:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0,-0.082,0,,,,,,,-0.019,0,,,,,,,-0.097,0,,,,,,,-0.03,0,124.17,124,1412,1412,5.24,7.07,7,-24.2,9.96,10,-191.7,4.03,4,152.3,,,,,18.303,18.345,,,9.46,9.38,,99.7,1.09,18.3,performed entire calibration with handheld hence some missing metadata for DO and pH,4/24/2024 11:57:08 PM,cdfw_frpmt,4/24/2024 11:57:08 PM,cdfw_frpmt,-121.282641207912,38.6136966292175
22,fc888a86-4751-422a-b394-f8ce751f2080,18D101365,,Discrete,,5/8/2024 4:01:00 AM,5/6/2024 3:06:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.4,0,0,,,0.07,0,,,0.01,0,,,0.03,-0.01,,,0.02,0,,,-0.03,0,,,-0.06,0,123.71,124,1409.5,1412,5.25,7.07,7,-25.6,9.99,10,-193.5,3.99,3.97,152.3,177.88,59.29,167.86,55.95,17.039,17.035,762.1,,9.6,9.68,99.5,100.3,1.06,17.041,Updated firmware; pH sensor needs refreshing,5/6/2024 4:01:30 PM,cdfw_frpmt,5/6/2024 4:01:30 PM,cdfw_frpmt,-121.282651852929,38.6136580724629
23,f9ed0aa4-1469-402c-9c4b-b6995eef26f4,19C101552,,Continuous,Pre,5/8/2024 4:01:00 AM,5/6/2024 2:39:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0,-0.03,0,,,-1.26,-0.01,,,0.02,0,,,0.14,0.01,,,0.18,0,,,0.18,0,,,0.02,0,123.87,124,1410.3,1412,5.32,,,,,,,,,,,,,,17.069,17.108,762.1,,9.63,9.68,99.8,100.3,1.08,17.11,Updated firmware; battery 100.0%,5/6/2024 4:07:21 PM,cdfw_frpmt,5/6/2024 4:07:21 PM,cdfw_frpmt,-121.282648919263,38.6136641074332
