Sonde,Date (MM/DD/YYYY),Time (HH:mm:ss),Site Name,Depth_m,DO_sat,DO_mgL,SPC,Turb_FNU,ph,ph_mv,TempC,Battery_V,Pressure_psi,VertPosit_m
21L101262,5/1/2022,4:45:00,TuleRed_Breach,2.036,90.5,8.73,8686.1,326.44,7.64,-50.1,15.687,5.68,,
21L101262,5/1/2022,5:00:00,TuleRed_Breach,1.944,89.4,8.65,8650.8,382.59,7.62,-48.9,15.56,5.68,,
21L101262,5/1/2022,5:15:00,TuleRed_Breach,1.853,88.1,8.55,8617.4,424.78,7.59,-47.4,15.445,5.68,,
21L101262,5/1/2022,5:30:00,TuleRed_Breach,1.769,85.9,8.35,8577.6,421.22,7.54,-44.9,15.345,5.68,,
21L101262,5/1/2022,5:45:00,TuleRed_Breach,1.688,82.7,8.06,8557.1,363.76,7.47,-40.8,15.271,5.67,,
21L101262,5/1/2022,6:00:00,TuleRed_Breach,1.608,80.9,7.89,8536.6,290.24,7.42,-37.9,15.19,5.68,,
21L101262,5/1/2022,6:15:00,TuleRed_Breach,1.543,79.5,7.77,8527.9,230.68,7.37,-35.4,15.12,5.67,,
21L101262,5/1/2022,6:30:00,TuleRed_Breach,1.47,78.5,7.67,8520.5,200.78,7.33,-33.5,15.081,5.68,,
21L101262,5/1/2022,6:45:00,TuleRed_Breach,1.412,77.8,7.61,8515.4,168.47,7.31,-31.9,15.031,5.68,,
21L101262,5/1/2022,7:00:00,TuleRed_Breach,1.359,77.2,7.56,8508.6,149.19,7.28,-30.6,14.99,5.67,,
21L101262,5/1/2022,7:15:00,TuleRed_Breach,1.308,76.7,7.52,8506.6,134.96,7.26,-29.4,14.954,5.68,,
21L101262,5/1/2022,7:30:00,TuleRed_Breach,1.267,76.4,7.49,8505.7,122.48,7.24,-28.3,14.946,5.67,,
21L101262,5/1/2022,7:45:00,TuleRed_Breach,1.218,76.2,7.47,8507.1,112.17,7.23,-27.6,14.943,5.68,,
21L101262,5/1/2022,8:00:00,TuleRed_Breach,1.169,75.8,7.43,8509.8,108.11,7.21,-26.6,14.935,5.68,,
21L101262,5/1/2022,8:15:00,TuleRed_Breach,1.125,75.3,7.39,8513.9,101.01,7.19,-25.6,14.935,5.67,,
21L101262,5/1/2022,8:30:00,TuleRed_Breach,1.089,75.2,7.36,8517,95.41,7.18,-25,14.971,5.68,,
21L101262,5/1/2022,8:45:00,TuleRed_Breach,1.052,74.9,7.34,8524.8,86.66,7.16,-24.2,15.007,5.67,,
21L101262,5/1/2022,9:00:00,TuleRed_Breach,1.023,74.9,7.32,8534.5,81.77,7.15,-23.6,15.078,5.68,,
21L101262,5/1/2022,9:15:00,TuleRed_Breach,0.998,74.9,7.31,8541.3,79.97,7.14,-23,15.156,5.68,,
21L101262,5/1/2022,9:30:00,TuleRed_Breach,0.981,74.9,7.3,8547.3,74.36,7.13,-22.3,15.241,5.67,,
21L101262,5/1/2022,9:45:00,TuleRed_Breach,0.965,75,7.29,8552.9,74.8,7.11,-21.4,15.346,5.68,,
21L101262,5/1/2022,10:00:00,TuleRed_Breach,0.953,75.1,7.28,8557.2,64.8,7.11,-21.5,15.481,5.67,,
21L101262,5/1/2022,10:15:00,TuleRed_Breach,0.941,75.3,7.28,8563.8,61.22,7.11,-21.1,15.609,5.68,,
21L101262,5/1/2022,10:30:00,TuleRed_Breach,0.933,75.9,7.31,8575.5,55.4,7.11,-21,15.764,5.68,,
21L101262,5/1/2022,10:45:00,TuleRed_Breach,0.926,76.3,7.32,8581.3,53.04,7.1,-20.7,15.941,5.67,,
21L101262,5/1/2022,11:00:00,TuleRed_Breach,0.92,76.9,7.35,8590.4,51.81,7.1,-20.6,16.106,5.68,,
21L101262,5/1/2022,11:15:00,TuleRed_Breach,0.915,77.2,7.36,8596.7,50.37,7.09,-20.4,16.281,5.68,,
21L101262,5/1/2022,11:30:00,TuleRed_Breach,0.911,77.9,7.39,8602.4,48.63,7.1,-20.7,16.485,5.68,,
21L101262,5/1/2022,11:45:00,TuleRed_Breach,0.933,78.4,7.41,8610.2,46.08,7.1,-20.9,16.681,5.68,,
21L101262,5/1/2022,12:00:00,TuleRed_Breach,1.005,82.7,7.7,8579.2,59.39,7.16,-23.9,17.398,5.68,,
21L101262,5/1/2022,12:15:00,TuleRed_Breach,1.102,90,8.09,8594.7,152.94,7.3,-32,19.156,5.68,,
21L101262,5/1/2022,12:30:00,TuleRed_Breach,1.216,97.8,8.72,8600.4,266.84,7.52,-43.9,19.592,5.68,,
21L101262,5/1/2022,12:45:00,TuleRed_Breach,1.319,99.2,8.84,8569.3,253.74,7.61,-48.9,19.63,5.68,,
21L101262,5/1/2022,13:00:00,TuleRed_Breach,1.422,100.8,9.02,8582.3,236.93,7.68,-52.8,19.39,5.69,,
21L101262,5/1/2022,13:15:00,TuleRed_Breach,1.52,101.4,9.14,8521,187.9,7.71,-54.7,19.018,5.68,,
21L101262,5/1/2022,13:30:00,TuleRed_Breach,1.602,101.8,9.11,8526.2,169.62,7.72,-54.9,19.421,5.68,,
21L101262,5/1/2022,13:45:00,TuleRed_Breach,1.679,101.8,9.11,8534.9,149.08,7.72,-55.2,19.376,5.68,,
21L101262,5/1/2022,14:00:00,TuleRed_Breach,1.741,101.9,9.15,8548.8,130.31,7.73,-55.6,19.193,5.68,,
21L101262,5/1/2022,14:15:00,TuleRed_Breach,1.799,101.9,9.16,8529.3,115.4,7.74,-56.1,19.184,5.69,,
21L101262,5/1/2022,14:30:00,TuleRed_Breach,1.857,103.3,9.31,8524,136.2,7.75,-57,19.015,5.68,,
21L101262,5/1/2022,14:45:00,TuleRed_Breach,1.905,103.5,9.26,8502,121.59,7.76,-57.2,19.423,5.68,,
21L101262,5/1/2022,15:00:00,TuleRed_Breach,1.938,103.8,9.23,8492.3,130.8,7.77,-58,19.707,5.68,,
21L101262,5/1/2022,15:15:00,TuleRed_Breach,1.966,104,9.22,8510.5,140.08,7.78,-58.5,19.865,5.68,,
21L101262,5/1/2022,15:30:00,TuleRed_Breach,1.992,103.8,9.16,8500.1,164.92,7.78,-58.6,20.097,5.69,,
21L101262,5/1/2022,15:45:00,TuleRed_Breach,2.017,104.5,9.01,8525.4,127.97,7.79,-59.2,21.297,5.68,,
21L101262,5/1/2022,16:00:00,TuleRed_Breach,2.03,104.2,9.13,8539.7,109.81,7.79,-58.9,20.479,5.68,,
21L101262,5/1/2022,16:15:00,TuleRed_Breach,2.032,103.5,9.14,8518,98.26,7.78,-58.8,20.067,5.68,,
21L101262,5/1/2022,16:30:00,TuleRed_Breach,2.033,100.9,8.9,8520.6,95.71,7.77,-58,20.162,5.68,,
21L101262,5/1/2022,16:45:00,TuleRed_Breach,2.023,102.6,8.99,8513.9,90.31,7.79,-59,20.425,5.69,,
21L101262,5/1/2022,17:00:00,TuleRed_Breach,2.011,103.1,8.99,8523.4,87.27,7.79,-59.2,20.706,5.68,,
21L101262,5/1/2022,17:15:00,TuleRed_Breach,1.988,103.3,8.94,8527.7,84.96,7.79,-59.2,21.066,5.68,,
21L101262,5/1/2022,17:30:00,TuleRed_Breach,1.96,103.4,8.93,8535.5,72.82,7.79,-59.4,21.203,5.69,,
21L101262,5/1/2022,17:45:00,TuleRed_Breach,1.926,103.5,8.94,8545.2,67.47,7.79,-59.5,21.241,5.68,,
21L101262,5/1/2022,18:00:00,TuleRed_Breach,1.891,104.8,9.02,8551.4,58.63,7.82,-60.9,21.394,5.68,,
21L101262,5/1/2022,18:15:00,TuleRed_Breach,1.847,104.6,9.05,8556.4,72.32,7.8,-60,21.056,5.68,,
21L101262,5/1/2022,18:30:00,TuleRed_Breach,1.777,104.1,9.05,8589.3,64.83,7.79,-59.1,20.843,5.68,,
21L101262,5/1/2022,18:45:00,TuleRed_Breach,1.719,104.5,9.1,8586.1,69.5,7.8,-59.6,20.738,5.68,,
21L101262,5/1/2022,19:00:00,TuleRed_Breach,1.648,104.3,9.1,8570.3,69.33,7.8,-59.5,20.669,5.68,,
21L101262,5/1/2022,19:15:00,TuleRed_Breach,1.576,104,9.11,8575.5,64.91,7.79,-59,20.509,5.68,,
21L101262,5/1/2022,19:30:00,TuleRed_Breach,1.531,102.2,9,8559.7,70.58,7.77,-57.8,20.189,5.68,,
21L101262,5/1/2022,19:45:00,TuleRed_Breach,1.49,101.3,8.94,8555.3,63.58,7.75,-56.9,20.066,5.68,,
21L101262,5/1/2022,20:00:00,TuleRed_Breach,1.446,100.3,8.87,8550.1,64.82,7.71,-54.9,20,5.69,,
21L101262,5/1/2022,20:15:00,TuleRed_Breach,1.397,99.5,8.81,8545.8,64.54,7.69,-53.6,19.923,5.68,,
21L101262,5/1/2022,20:30:00,TuleRed_Breach,1.355,98.7,8.75,8544.1,61.81,7.64,-51,19.879,5.68,,
21L101262,5/1/2022,20:45:00,TuleRed_Breach,1.344,98.1,8.71,8541.4,56.79,7.63,-50.1,19.797,5.69,,
21L101262,5/1/2022,21:00:00,TuleRed_Breach,1.331,96.8,8.61,8540.6,54.91,7.6,-48.8,19.668,5.68,,
21L101262,5/1/2022,21:15:00,TuleRed_Breach,1.33,94.2,8.39,8539.1,44.75,7.59,-48,19.635,5.68,,
21L101262,5/1/2022,21:30:00,TuleRed_Breach,1.36,96,8.58,8564.9,50.1,7.61,-49.2,19.471,5.68,,
21L101262,5/1/2022,21:45:00,TuleRed_Breach,1.388,92.9,8.46,8619.3,179.65,7.75,-56.8,18.445,5.68,,
21L101262,5/1/2022,22:00:00,TuleRed_Breach,1.416,94.4,8.74,8643.8,256.25,7.79,-58.7,17.65,5.68,,
21L101262,5/1/2022,22:15:00,TuleRed_Breach,1.459,94.8,8.8,8645.7,271.05,7.79,-58.9,17.548,5.68,,
21L101262,5/1/2022,22:30:00,TuleRed_Breach,1.508,95.2,8.82,8591.3,255.72,7.78,-58.3,17.67,5.68,,
21L101262,5/1/2022,22:45:00,TuleRed_Breach,1.557,95.5,8.84,8625,793.38,7.79,-58.7,17.681,5.68,,
21L101262,5/1/2022,23:00:00,TuleRed_Breach,1.617,93.1,8.58,8620.9,494.35,7.76,-57.2,17.875,5.68,,
21L101262,5/1/2022,23:15:00,TuleRed_Breach,1.685,87.4,8.06,8618.8,228.37,7.74,-56.2,17.891,5.68,,
21L101262,5/1/2022,23:30:00,TuleRed_Breach,1.778,84,7.75,8629.3,172.15,7.74,-56.2,17.866,5.68,,
21L101262,5/1/2022,23:45:00,TuleRed_Breach,1.864,79.1,7.3,8656.5,172.23,7.73,-55.4,17.848,5.68,,
21L101262,5/2/2022,0:00:00,TuleRed_Breach,1.953,73,6.73,8658.3,143.01,7.72,-55.1,17.878,5.68,,
21L101262,5/2/2022,0:15:00,TuleRed_Breach,2.029,66,6.08,8662.1,137.7,7.72,-54.8,17.894,5.68,,
21L101262,5/2/2022,0:30:00,TuleRed_Breach,2.107,62.8,5.78,8660.9,137.13,7.71,-54.3,17.902,5.68,,
21L101262,5/2/2022,0:45:00,TuleRed_Breach,2.185,58.4,5.38,8663.4,133.18,7.71,-54.1,17.908,5.68,,
21L101262,5/2/2022,1:00:00,TuleRed_Breach,2.252,52.6,4.85,8676,132.99,7.7,-53.7,17.925,5.68,,
21L101262,5/2/2022,1:15:00,TuleRed_Breach,2.299,55.3,5.1,8674.5,126.39,7.7,-53.6,17.867,5.68,,
21L101262,5/2/2022,1:30:00,TuleRed_Breach,2.327,41.5,3.83,8622.7,92.37,7.68,-52.7,17.824,5.68,,
21L101262,5/2/2022,1:45:00,TuleRed_Breach,2.339,95.8,9,8720.9,455.1,7.72,-55,16.941,5.68,,
21L101262,5/2/2022,2:00:00,TuleRed_Breach,2.361,95.7,8.98,8692.8,488.13,7.73,-55.3,17.036,5.67,,
21L101262,5/2/2022,2:15:00,TuleRed_Breach,2.397,95.7,9.01,8714.4,400.06,7.73,-55.4,16.806,5.68,,
21L101262,5/2/2022,2:30:00,TuleRed_Breach,2.41,95.6,9.04,8704.4,439.33,7.73,-55.4,16.669,5.67,,
21L101262,5/2/2022,2:45:00,TuleRed_Breach,2.445,95.4,9.02,8712.6,464.68,7.72,-54.8,16.678,5.68,,
21L101262,5/2/2022,3:00:00,TuleRed_Breach,2.441,95.6,9.05,8734.2,378.13,7.71,-54.5,16.594,5.68,,
21L101262,5/2/2022,3:15:00,TuleRed_Breach,2.443,95.7,9.06,8730.5,403.68,7.72,-54.5,16.569,5.67,,
21L101262,5/2/2022,3:30:00,TuleRed_Breach,2.434,95.6,9.06,8726,383.79,7.71,-54.4,16.549,5.68,,
21L101262,5/2/2022,3:45:00,TuleRed_Breach,2.423,95.7,9.07,8723.6,301.58,7.72,-54.8,16.54,5.67,,
21L101262,5/2/2022,4:00:00,TuleRed_Breach,2.393,95.1,9.03,8723.3,307.43,7.72,-54.8,16.454,5.67,,
21L101262,5/2/2022,4:15:00,TuleRed_Breach,2.339,95.6,9.06,8712.4,214.03,7.73,-55.4,16.557,5.68,,
21L101262,5/2/2022,4:30:00,TuleRed_Breach,2.291,94.1,8.94,8692.2,147.37,7.71,-54,16.447,5.67,,
21L101262,5/2/2022,4:45:00,TuleRed_Breach,2.219,93.3,8.85,8699.6,178.28,7.69,-53.2,16.442,5.67,,
21L101262,5/2/2022,5:00:00,TuleRed_Breach,2.162,91.8,8.74,8682.7,176.32,7.67,-52,16.337,5.67,,
21L101262,5/2/2022,5:15:00,TuleRed_Breach,2.08,90.8,8.66,8704.4,213.58,7.65,-51.1,16.217,5.67,,
21L101262,5/2/2022,5:30:00,TuleRed_Breach,2.005,89.6,8.56,8707.9,250.02,7.63,-49.9,16.152,5.68,,
21L101262,5/2/2022,5:45:00,TuleRed_Breach,1.92,88.3,8.44,8794.6,260.57,7.61,-48.6,16.083,5.67,,
21L101262,5/2/2022,6:00:00,TuleRed_Breach,1.845,85.8,8.22,8955.9,292.7,7.56,-46,16.002,5.67,,
21L101262,5/2/2022,6:15:00,TuleRed_Breach,1.766,82.8,7.95,9017.3,259.22,7.49,-41.9,15.896,5.67,,
21L101262,5/2/2022,6:30:00,TuleRed_Breach,1.674,80.9,7.78,9017,241.59,7.44,-39.2,15.799,5.67,,
21L101262,5/2/2022,6:45:00,TuleRed_Breach,1.603,79.7,7.67,9025.8,221.53,7.4,-37.1,15.733,5.67,,
21L101262,5/2/2022,7:00:00,TuleRed_Breach,1.564,79.2,7.63,9056.3,196.13,7.38,-35.8,15.67,5.67,,
21L101262,5/2/2022,7:15:00,TuleRed_Breach,1.485,78.8,7.6,9073.5,178.47,7.35,-34.5,15.598,5.67,,
21L101262,5/2/2022,7:30:00,TuleRed_Breach,1.399,78.4,7.57,9101.9,172.7,7.33,-33.5,15.559,5.67,,
21L101262,5/2/2022,7:45:00,TuleRed_Breach,1.36,78.1,7.55,9103.3,148.82,7.32,-32.5,15.514,5.67,,
21L101262,5/2/2022,8:00:00,TuleRed_Breach,1.327,77.9,7.53,9097.3,132.89,7.3,-31.4,15.481,5.67,,
21L101262,5/2/2022,8:15:00,TuleRed_Breach,1.267,77.8,7.53,9092.8,120.05,7.28,-30.6,15.469,5.66,,
21L101262,5/2/2022,8:30:00,TuleRed_Breach,1.233,77.4,7.49,9075.9,109.21,7.26,-29.4,15.435,5.67,,
21L101262,5/2/2022,8:45:00,TuleRed_Breach,1.193,77.1,7.46,9109.2,101.65,7.25,-28.6,15.456,5.67,,
21L101262,5/2/2022,9:00:00,TuleRed_Breach,1.146,76.7,7.42,9117.2,91.43,7.23,-27.7,15.47,5.67,,
21L101262,5/2/2022,9:15:00,TuleRed_Breach,1.106,76.8,7.42,9179.1,88.28,7.22,-27,15.512,5.67,,
21L101262,5/2/2022,9:30:00,TuleRed_Breach,1.097,76.9,7.42,9245.6,80.63,7.21,-26.6,15.581,5.67,,
21L101262,5/2/2022,9:45:00,TuleRed_Breach,1.074,77.7,7.47,9790.8,80.58,7.21,-26.7,15.645,5.67,,
21L101262,5/2/2022,10:00:00,TuleRed_Breach,1.051,78.2,7.51,9803.4,75.47,7.2,-26.3,15.736,5.67,,
21L101262,5/2/2022,10:15:00,TuleRed_Breach,1.017,78.4,7.51,9818.3,68.14,7.2,-26.1,15.843,5.67,,
21L101262,5/2/2022,10:30:00,TuleRed_Breach,1.002,78.8,7.53,9832.7,68,7.19,-25.4,15.936,5.67,,
21L101262,5/2/2022,10:45:00,TuleRed_Breach,0.986,78.9,7.51,9846.6,65.3,7.18,-24.9,16.078,5.67,,
21L101262,5/2/2022,11:00:00,TuleRed_Breach,0.973,79.1,7.51,9854.6,63.14,7.17,-24.5,16.211,5.67,,
21L101262,5/2/2022,11:15:00,TuleRed_Breach,0.963,79.5,7.53,9862.6,58.22,7.17,-24.3,16.38,5.67,,
21L101262,5/2/2022,11:30:00,TuleRed_Breach,0.954,80.1,7.57,9877.7,56.84,7.17,-24.3,16.505,5.67,,
21L101262,5/2/2022,11:45:00,TuleRed_Breach,0.946,80.6,7.58,9887,54.79,7.16,-24.2,16.658,5.67,,
21L101262,5/2/2022,12:00:00,TuleRed_Breach,0.946,81.2,7.61,9898.3,51.38,7.17,-24.3,16.846,5.67,,
21L101262,5/2/2022,12:15:00,TuleRed_Breach,0.985,82.1,7.65,9898.7,83.47,7.19,-25.5,17.107,5.67,,
21L101262,5/2/2022,12:30:00,TuleRed_Breach,1.061,88.7,8.1,9904.1,69.36,7.3,-31.9,18.116,5.67,,
21L101262,5/2/2022,12:45:00,TuleRed_Breach,1.156,98.9,8.74,9895.8,497.64,7.69,-53.5,19.791,5.68,,
21L101262,5/2/2022,13:00:00,TuleRed_Breach,1.231,99.5,8.79,9856.2,495.05,7.72,-54.9,19.831,5.67,,
21L101262,5/2/2022,13:15:00,TuleRed_Breach,1.337,100,8.8,9847.9,447.89,7.75,-57.1,19.975,5.68,,
21L101262,5/2/2022,13:30:00,TuleRed_Breach,1.42,99.7,8.88,9822.8,646.04,7.74,-56.3,19.366,5.67,,
21L101262,5/2/2022,13:45:00,TuleRed_Breach,1.53,99.8,8.73,9782.2,528.79,7.78,-58.4,20.3,5.68,,
21L101262,5/2/2022,14:00:00,TuleRed_Breach,1.61,99.9,8.76,9834.7,475.82,7.78,-58.4,20.177,5.68,,
21L101262,5/2/2022,14:15:00,TuleRed_Breach,1.69,99.9,8.77,9818.1,420.81,7.77,-57.9,20.074,5.67,,
21L101262,5/2/2022,14:30:00,TuleRed_Breach,1.761,99.9,8.8,9813.9,402.71,7.77,-57.7,19.96,5.68,,
21L101262,5/2/2022,14:45:00,TuleRed_Breach,1.812,99.9,8.83,9806.8,325.44,7.76,-57.3,19.772,5.67,,
21L101262,5/2/2022,15:00:00,TuleRed_Breach,1.85,99.2,8.75,9803.5,318.99,7.75,-57.1,19.932,5.68,,
21L101262,5/2/2022,15:15:00,TuleRed_Breach,1.916,98.9,8.64,9779.7,771.79,7.76,-57.4,20.392,5.68,,
21L101262,5/2/2022,15:30:00,TuleRed_Breach,1.954,98.3,8.6,9840.5,378.04,7.75,-57.1,20.289,5.68,,
21L101262,5/2/2022,15:45:00,TuleRed_Breach,1.983,78.2,6.86,9800.7,201.83,7.71,-54.5,20.221,5.67,,
21L101262,5/2/2022,16:00:00,TuleRed_Breach,2.011,69.5,6.1,9761.8,161.44,7.7,-53.9,20.122,5.67,,
21L101262,5/2/2022,16:15:00,TuleRed_Breach,2.04,61.9,5.44,9757.7,152.19,7.69,-53.7,20.107,5.67,,
21L101262,5/2/2022,16:30:00,TuleRed_Breach,2.054,55.4,4.86,9752.3,149.16,7.69,-53.5,20.126,5.68,,
21L101262,5/2/2022,16:45:00,TuleRed_Breach,2.054,48.8,4.28,9743.2,147.92,7.68,-53.2,20.155,5.67,,
21L101262,5/2/2022,17:00:00,TuleRed_Breach,2.063,42.4,3.72,9744.2,141.45,7.68,-52.9,20.164,5.68,,
21L101262,5/2/2022,17:15:00,TuleRed_Breach,2.058,36.7,3.22,9742.7,139.28,7.68,-52.8,20.162,5.67,,
21L101262,5/2/2022,17:30:00,TuleRed_Breach,2.045,30.7,2.7,9740.1,139.6,7.67,-52.3,20.155,5.68,,
21L101262,5/2/2022,17:45:00,TuleRed_Breach,2.033,24.3,2.13,9754.5,136.85,7.66,-52,20.144,5.68,,
21L101262,5/2/2022,18:00:00,TuleRed_Breach,2.013,18.8,1.65,9768,134.73,7.65,-51.5,20.13,5.67,,
21L101262,5/2/2022,18:15:00,TuleRed_Breach,1.979,13.2,1.16,9774,135.91,7.65,-51.3,20.116,5.68,,
21L101262,5/2/2022,18:30:00,TuleRed_Breach,1.946,8.2,0.72,9779.9,134.68,7.64,-51,20.099,5.67,,
21L101262,5/2/2022,18:45:00,TuleRed_Breach,1.879,3.4,0.3,9747.7,131.88,7.63,-50.1,20.086,5.68,,
21L101262,5/2/2022,19:00:00,TuleRed_Breach,1.854,0.2,0.02,9815.5,130.53,7.62,-49.5,20.127,5.68,,
21L101262,5/2/2022,19:15:00,TuleRed_Breach,1.799,96.4,8.41,9928.4,426.44,7.74,-56.1,20.382,5.67,,
21L101262,5/2/2022,19:30:00,TuleRed_Breach,1.742,98,8.58,9935.5,123.29,7.75,-56.7,20.228,5.68,,
21L101262,5/2/2022,19:45:00,TuleRed_Breach,1.693,97.9,8.6,9925.7,65.7,7.74,-56.6,20.035,5.67,,
21L101262,5/2/2022,20:00:00,TuleRed_Breach,1.63,98.6,8.68,9920.3,60.68,7.75,-57,19.949,5.68,,
21L101262,5/2/2022,20:15:00,TuleRed_Breach,1.585,98.2,8.66,9920,62.61,7.75,-56.6,19.894,5.68,,
21L101262,5/2/2022,20:30:00,TuleRed_Breach,1.54,97.6,8.61,9918.8,58,7.73,-55.9,19.861,5.67,,
21L101262,5/2/2022,20:45:00,TuleRed_Breach,1.506,96.9,8.56,9922.4,57.97,7.72,-55.3,19.794,5.67,,
21L101262,5/2/2022,21:00:00,TuleRed_Breach,1.472,96.2,8.51,9925.2,50.61,7.72,-55,19.742,5.67,,
21L101262,5/2/2022,21:15:00,TuleRed_Breach,1.444,96.3,8.52,9928.8,47.14,7.69,-53.7,19.685,5.68,,
21L101262,5/2/2022,21:30:00,TuleRed_Breach,1.426,95.8,8.49,9933.3,42.98,7.67,-52.5,19.6,5.68,,
21L101262,5/2/2022,21:45:00,TuleRed_Breach,1.413,95.1,8.44,9940.3,42.12,7.65,-51,19.541,5.67,,
21L101262,5/2/2022,22:00:00,TuleRed_Breach,1.406,94.1,8.37,9947.1,51.74,7.64,-50.5,19.443,5.67,,
21L101262,5/2/2022,22:15:00,TuleRed_Breach,1.42,92.7,8.26,9944.8,59.75,7.64,-50.6,19.37,5.67,,
21L101262,5/2/2022,22:30:00,TuleRed_Breach,1.44,92.2,8.48,10012.7,133.93,7.73,-55.4,17.742,5.67,,
21L101262,5/2/2022,22:45:00,TuleRed_Breach,1.468,92.5,8.59,10020.8,129.52,7.73,-55.2,17.327,5.68,,
21L101262,5/2/2022,23:00:00,TuleRed_Breach,1.517,93.4,8.64,10016.9,107.38,7.72,-55.1,17.494,5.67,,
21L101262,5/2/2022,23:15:00,TuleRed_Breach,1.561,92.6,8.61,10060.1,131.55,7.73,-55.1,17.213,5.67,,
21L101262,5/2/2022,23:30:00,TuleRed_Breach,1.613,93.6,8.62,10038.1,90.47,7.72,-55,17.684,5.67,,
21L101262,5/2/2022,23:45:00,TuleRed_Breach,1.674,93.6,8.64,10039.3,103.94,7.74,-56,17.584,5.67,,
21L101262,5/3/2022,0:00:00,TuleRed_Breach,1.749,94.1,8.65,10022.7,100.04,7.75,-56.4,17.816,5.67,,
21L101262,5/3/2022,0:15:00,TuleRed_Breach,1.828,94.3,8.66,10015.8,87.87,7.75,-56.5,17.878,5.67,,
21L101262,5/3/2022,0:30:00,TuleRed_Breach,1.904,94.3,8.67,10029,88.51,7.75,-56.5,17.804,5.67,,
21L101262,5/3/2022,0:45:00,TuleRed_Breach,1.967,94.2,8.65,10021.6,97.21,7.75,-56.5,17.78,5.67,,
21L101262,5/3/2022,1:00:00,TuleRed_Breach,2.03,94,8.65,10015.5,106.18,7.75,-56.4,17.712,5.67,,
21L101262,5/3/2022,1:15:00,TuleRed_Breach,2.085,92.4,8.61,10031.8,165.63,7.76,-57.1,17.086,5.67,,
21L101262,5/3/2022,1:30:00,TuleRed_Breach,2.146,93.4,8.67,10041.2,117.83,7.77,-57.8,17.262,5.67,,
21L101262,5/3/2022,1:45:00,TuleRed_Breach,2.196,93.4,8.65,10039.3,107.56,7.77,-57.5,17.42,5.67,,
21L101262,5/3/2022,2:00:00,TuleRed_Breach,2.247,93.4,8.64,10035.6,110.39,7.77,-57.5,17.478,5.67,,
21L101262,5/3/2022,2:15:00,TuleRed_Breach,2.283,93.4,8.63,10035.5,242.47,7.77,-57.6,17.499,5.67,,
21L101262,5/3/2022,2:30:00,TuleRed_Breach,2.309,93.8,8.68,10033.1,297.76,7.77,-57.6,17.453,5.67,,
21L101262,5/3/2022,2:45:00,TuleRed_Breach,2.326,94.7,8.85,10068.4,202.57,7.77,-57.7,16.974,5.66,,
21L101262,5/3/2022,3:00:00,TuleRed_Breach,2.341,95.4,8.97,10028.1,146.39,7.77,-57.7,16.661,5.67,,
21L101262,5/3/2022,3:15:00,TuleRed_Breach,2.345,95.5,9.01,10013.5,137.84,7.77,-57.6,16.524,5.67,,
21L101262,5/3/2022,3:30:00,TuleRed_Breach,2.355,95.2,8.99,10021.1,133.16,7.77,-57.6,16.467,5.67,,
21L101262,5/3/2022,3:45:00,TuleRed_Breach,2.354,95.3,9.01,10024.9,105.67,7.77,-57.7,16.431,5.67,,
21L101262,5/3/2022,4:00:00,TuleRed_Breach,2.344,94.8,8.98,10027.7,89.9,7.77,-57.7,16.353,5.67,,
21L101262,5/3/2022,4:15:00,TuleRed_Breach,2.329,94.1,8.94,10023.4,77.51,7.77,-57.5,16.213,5.67,,
21L101262,5/3/2022,4:30:00,TuleRed_Breach,2.298,93.9,8.91,10025.5,79.32,7.77,-57.5,16.262,5.67,,
21L101262,5/3/2022,4:45:00,TuleRed_Breach,2.251,94.3,8.93,10031.2,79.01,7.77,-57.5,16.362,5.67,,
21L101262,5/3/2022,5:00:00,TuleRed_Breach,2.2,92.8,8.79,10031.2,82.47,7.74,-55.9,16.345,5.67,,
21L101262,5/3/2022,5:15:00,TuleRed_Breach,2.13,92.8,8.78,10030.7,93.19,7.74,-55.9,16.364,5.66,,
21L101262,5/3/2022,5:30:00,TuleRed_Breach,2.058,91.8,8.69,10036.3,126.12,7.72,-54.8,16.36,5.66,,
21L101262,5/3/2022,5:45:00,TuleRed_Breach,1.974,90.8,8.6,10049.7,130.01,7.7,-53.8,16.341,5.67,,
21L101262,5/3/2022,6:00:00,TuleRed_Breach,1.891,89.8,8.51,10063.8,134.81,7.69,-52.9,16.334,5.66,,
21L101262,5/3/2022,6:15:00,TuleRed_Breach,1.81,88,8.33,10081.2,131.86,7.65,-51,16.308,5.66,,
21L101262,5/3/2022,6:30:00,TuleRed_Breach,1.731,85.1,8.06,10100.3,137.66,7.59,-47.4,16.259,5.67,,
21L101262,5/3/2022,6:45:00,TuleRed_Breach,1.65,82,7.78,10110.8,127.31,7.5,-42.5,16.235,5.66,,
21L101262,5/3/2022,7:00:00,TuleRed_Breach,1.584,79.5,7.55,10125.9,115.59,7.43,-38.6,16.178,5.67,,
21L101262,5/3/2022,7:15:00,TuleRed_Breach,1.518,77.1,7.33,10142.1,106.51,7.36,-34.9,16.112,5.66,,
21L101262,5/3/2022,7:30:00,TuleRed_Breach,1.459,75.5,7.19,10157.7,92.36,7.31,-32.2,16.053,5.67,,
21L101262,5/3/2022,7:45:00,TuleRed_Breach,1.39,74.2,7.08,10171.5,88.84,7.27,-30,15.997,5.66,,
21L101262,5/3/2022,8:00:00,TuleRed_Breach,1.33,73.5,7.01,10180.3,84.69,7.24,-28.5,15.962,5.66,,
