Sonde,Date (MM/DD/YYYY),Time (HH:mm:ss),Site Name,Depth_m,DO_sat,DO_mgL,SPC,Turb_FNU,ph,ph_mv,TempC,Battery_V,Pressure_psi,VertPosit_m
21L101262,4/12/2022,23:45:00,TuleRed_Breach,2,50.4,5.22,9515.1,99.83,7.84,-60.6,12.257,5.93,,
21L101262,4/13/2022,0:00:00,TuleRed_Breach,2.04,42.2,4.37,9382.2,85.68,7.82,-59.7,12.298,5.94,,
21L101262,4/13/2022,0:15:00,TuleRed_Breach,2.061,34.8,3.6,9225.6,86.18,7.81,-58.8,12.357,5.93,,
21L101262,4/13/2022,0:30:00,TuleRed_Breach,2.08,28.1,2.9,9081.6,82.49,7.79,-58,12.417,5.93,,
21L101262,4/13/2022,0:45:00,TuleRed_Breach,2.093,21.8,2.26,8989.2,82.7,7.78,-57.3,12.457,5.93,,
21L101262,4/13/2022,1:00:00,TuleRed_Breach,2.113,15.6,1.61,8902.8,82.7,7.77,-56.6,12.495,5.94,,
21L101262,4/13/2022,1:15:00,TuleRed_Breach,2.117,10.2,1.05,8823.5,83.97,7.75,-56,12.528,5.93,,
21L101262,4/13/2022,1:30:00,TuleRed_Breach,2.114,5.4,0.56,8796.2,79.03,7.74,-55.2,12.552,5.93,,
21L101262,4/13/2022,1:45:00,TuleRed_Breach,2.105,1.8,0.18,8762.5,80.31,7.73,-54.5,12.595,5.94,,
21L101262,4/13/2022,2:00:00,TuleRed_Breach,2.087,-0.6,-0.06,8753.6,77.19,7.71,-53.9,12.647,5.93,,
21L101262,4/13/2022,2:15:00,TuleRed_Breach,2.055,-1.4,-0.14,8755.6,77.14,7.71,-53.5,12.703,5.93,,
21L101262,4/13/2022,2:30:00,TuleRed_Breach,2.022,-1.5,-0.15,8807.6,76.4,7.7,-53.1,12.742,5.94,,
21L101262,4/13/2022,2:45:00,TuleRed_Breach,1.963,-1.5,-0.16,8930.5,74.27,7.69,-52.6,12.755,5.93,,
21L101262,4/13/2022,3:00:00,TuleRed_Breach,1.905,-1.6,-0.17,8939.1,74.53,7.68,-52.1,12.684,5.93,,
21L101262,4/13/2022,3:15:00,TuleRed_Breach,1.829,-1.7,-0.17,9107.4,75.91,7.67,-51.7,12.51,5.93,,
21L101262,4/13/2022,3:30:00,TuleRed_Breach,1.768,-1.7,-0.18,9866.2,78.18,7.67,-51.2,12.309,5.93,,
21L101262,4/13/2022,3:45:00,TuleRed_Breach,1.694,-1.7,-0.18,10467.6,80.55,7.66,-51,12.128,5.94,,
21L101262,4/13/2022,4:00:00,TuleRed_Breach,1.629,-1.7,-0.18,10895.7,78.43,7.66,-50.7,11.994,5.93,,
21L101262,4/13/2022,4:15:00,TuleRed_Breach,1.573,50.4,5.23,11162.3,214.31,7.65,-50.3,11.88,5.93,,
21L101262,4/13/2022,4:30:00,TuleRed_Breach,1.507,48.4,5.04,11170.7,173.09,7.65,-50.1,11.726,5.93,,
21L101262,4/13/2022,4:45:00,TuleRed_Breach,1.445,38,3.97,11463.2,752.59,7.64,-49.8,11.568,5.93,,
21L101262,4/13/2022,5:00:00,TuleRed_Breach,1.391,26.6,2.78,11890.6,562.74,7.63,-49.4,11.429,5.93,,
21L101262,4/13/2022,5:15:00,TuleRed_Breach,1.337,36,3.77,12071.4,513.61,7.63,-49,11.35,5.93,,
21L101262,4/13/2022,5:30:00,TuleRed_Breach,1.3,21.4,2.24,12340.9,255.46,7.62,-48.6,11.329,5.93,,
21L101262,4/13/2022,5:45:00,TuleRed_Breach,1.258,18.8,1.97,12181.2,193.44,7.62,-48.4,11.265,5.93,,
21L101262,4/13/2022,6:00:00,TuleRed_Breach,1.23,19,1.99,12153,196.98,7.61,-48.3,11.228,5.93,,
21L101262,4/13/2022,6:15:00,TuleRed_Breach,1.198,25.1,2.63,12153.9,133.83,7.61,-48.2,11.239,5.93,,
21L101262,4/13/2022,6:30:00,TuleRed_Breach,1.177,53.3,5.6,12281.8,114.26,7.61,-48,11.177,5.93,,
21L101262,4/13/2022,6:45:00,TuleRed_Breach,1.161,29.5,3.1,12211.7,98.83,7.61,-47.9,11.178,5.93,,
21L101262,4/13/2022,7:00:00,TuleRed_Breach,1.153,46,4.83,12249.2,96.05,7.6,-47.4,11.194,5.92,,
21L101262,4/13/2022,7:15:00,TuleRed_Breach,1.147,36.1,3.79,12186.7,104.98,7.6,-47.3,11.217,5.93,,
21L101262,4/13/2022,7:30:00,TuleRed_Breach,1.158,48,5.04,12128.6,140.52,7.59,-47,11.291,5.93,,
21L101262,4/13/2022,7:45:00,TuleRed_Breach,1.184,44.8,4.72,12125.4,142.41,7.59,-46.8,11.113,5.92,,
21L101262,4/13/2022,8:00:00,TuleRed_Breach,1.22,56.5,6.05,11685.3,112.47,7.6,-47.2,10.385,5.93,,
21L101262,4/13/2022,8:15:00,TuleRed_Breach,1.276,48.7,5.21,9415.9,130.02,7.61,-47.9,10.81,5.92,,
21L101262,4/13/2022,8:30:00,TuleRed_Breach,1.337,65.5,6.86,8478,142.69,7.61,-48.1,11.916,5.92,,
21L101262,4/13/2022,8:45:00,TuleRed_Breach,1.407,67.4,7.08,9512.1,124.1,7.61,-48,11.654,5.93,,
21L101262,4/13/2022,9:00:00,TuleRed_Breach,1.479,83,8.63,8703.2,183.09,7.61,-48.4,12.221,5.92,,
21L101262,4/13/2022,9:15:00,TuleRed_Breach,1.562,88.6,9.16,8684.8,683.95,7.61,-48,12.483,5.93,,
21L101262,4/13/2022,9:30:00,TuleRed_Breach,1.636,88.5,9.12,8717.7,376.98,7.6,-47.5,12.631,5.92,,
21L101262,4/13/2022,9:45:00,TuleRed_Breach,1.717,89.3,9.16,8884.8,3340.33,7.6,-47.9,12.803,5.93,,
21L101262,4/13/2022,10:00:00,TuleRed_Breach,1.787,91.5,9.38,8809.9,1597.86,7.6,-47.6,12.846,5.93,,
21L101262,4/13/2022,10:15:00,TuleRed_Breach,1.854,91.4,9.32,8945.6,3594.45,7.6,-47.7,13.056,5.92,,
21L101262,4/13/2022,10:30:00,TuleRed_Breach,1.915,91.1,9.24,8962.4,990.07,7.59,-47.1,13.274,5.92,,
